iter	MultiClass
0	2.135181832
1	1.897538689
2	1.728136903
3	1.587932281
4	1.473380707
5	1.371245416
6	1.286237896
7	1.210517487
8	1.142504912
9	1.084882178
10	1.029320119
11	0.9805497893
12	0.9352847248
13	0.8937565109
14	0.8562139155
15	0.8220553844
16	0.7896944493
17	0.7604027201
18	0.7309008158
19	0.7047091364
20	0.6806986933
21	0.6570906351
22	0.6345540621
23	0.6137420321
24	0.5933358728
25	0.575480945
26	0.558476227
27	0.5421220033
28	0.5265892361
29	0.5112683925
30	0.4973260774
31	0.4839400853
32	0.4713379472
33	0.4595518208
34	0.4476913967
35	0.4372706989
36	0.4264138372
37	0.4159291996
38	0.4053568354
39	0.3956035278
40	0.387402243
41	0.3785763659
42	0.3704428666
43	0.3622778587
44	0.3543493643
45	0.3472954067
46	0.3400654521
47	0.3342806715
48	0.3285831374
49	0.3227803572
50	0.3160818536
51	0.3110572733
52	0.305522329
53	0.3004547266
54	0.2956158826
55	0.2921736344
56	0.287655172
57	0.2830809184
58	0.2793439436
59	0.2751741627
60	0.2718943116
61	0.2690872406
62	0.2654259152
63	0.2612159407
64	0.2576452149
65	0.2541865769
66	0.251800695
67	0.2499112395
68	0.2478384352
69	0.2449903161
70	0.2428588915
71	0.2398763687
72	0.2376020261
73	0.2344283419
74	0.2315987835
75	0.2294424343
76	0.2277154445
77	0.22532123
78	0.2231935078
79	0.2213773699
80	0.219605926
81	0.2174036219
82	0.214921264
83	0.2130735952
84	0.2117670564
85	0.2091932999
86	0.2072013001
87	0.2053510983
88	0.2029973412
89	0.2015244372
90	0.2001398986
91	0.1984114596
92	0.196433669
93	0.194711216
94	0.1929545681
95	0.1909645449
96	0.1897642841
97	0.1885782179
98	0.1872041984
99	0.1860446846
100	0.184481604
101	0.1828402691
102	0.1816634661
103	0.1806201334
104	0.1793290265
105	0.1778872245
106	0.1770317885
107	0.1758656813
108	0.1744915403
109	0.1734435757
110	0.1720074529
111	0.1707113891
112	0.1692854534
113	0.1680844224
114	0.1670742039
115	0.1656295176
116	0.1643864875
117	0.1636398279
118	0.16254972
119	0.1609448168
120	0.1600924714
121	0.1589598623
122	0.1579328526
123	0.1570069681
124	0.156471847
125	0.1554125485
126	0.1539196041
127	0.1530844699
128	0.1521732934
129	0.1510823758
130	0.1496568921
131	0.1485554378
132	0.1473602821
133	0.1461513996
134	0.14545176
135	0.1442726431
136	0.1436119176
137	0.1428352593
138	0.1419805739
139	0.1413000162
140	0.1404134141
141	0.1394498953
142	0.1378403194
143	0.1373289441
144	0.1368895204
145	0.1364177491
146	0.1356654643
147	0.1352513888
148	0.1345315317
149	0.1337165315
150	0.1330194949
151	0.1321674974
152	0.131550656
153	0.1308452075
154	0.1302350049
155	0.129562862
156	0.1286871422
157	0.1277891164
158	0.1272642458
159	0.1267267104
160	0.1259855973
161	0.125381788
162	0.1248096865
163	0.124092529
164	0.1230820975
165	0.1226005632
166	0.1221256212
167	0.1215678196
168	0.1209794249
169	0.120550383
170	0.1199605909
171	0.1193117222
172	0.1187201742
173	0.1181704101
174	0.1177181964
175	0.116998429
176	0.1165700667
177	0.1159046318
178	0.1154317645
179	0.1149979815
180	0.1141553797
181	0.1136730047
182	0.1132921694
183	0.1125983398
184	0.1120033945
185	0.1114417206
186	0.110523607
187	0.1100651039
188	0.1095975496
189	0.1088567371
190	0.1084002241
191	0.1079986001
192	0.1074127885
193	0.1068820493
194	0.1064838964
195	0.106272378
196	0.1060216306
197	0.1057101619
198	0.105218682
199	0.1048476999
200	0.1044837399
201	0.1041237547
202	0.1035100061
203	0.1027506913
204	0.1023546667
205	0.102037496
206	0.1016829838
207	0.1012330955
208	0.1006250561
209	0.100272508
210	0.09983505636
211	0.09952441081
212	0.09884935191
213	0.09844773886
214	0.09825275458
215	0.09755660372
216	0.0971919696
217	0.09661487663
218	0.09636430616
219	0.09582991286
220	0.095453274
221	0.09509222088
222	0.09451741518
223	0.09432710711
224	0.09388539169
225	0.09364274627
226	0.09330509729
227	0.09297774036
228	0.09260840332
229	0.09227722441
230	0.0919849612
231	0.09136028115
232	0.09104017261
233	0.0907117065
234	0.0901954027
235	0.08997180642
236	0.08962111264
237	0.08916405702
238	0.08883836186
239	0.0884353397
240	0.0880837913
241	0.08780542073
242	0.08759320637
243	0.08722237862
244	0.08698349398
245	0.08676596367
246	0.08660356663
247	0.08632214998
248	0.08605776382
249	0.08558345075
250	0.08529886509
251	0.08499092143
252	0.08483416335
253	0.08463623442
254	0.08429973429
255	0.08393564683
256	0.08365521397
257	0.08334973291
258	0.08302250923
259	0.08269806099
260	0.08230612179
261	0.08212102306
262	0.08180853426
263	0.08135204563
264	0.08097367233
265	0.08073890167
266	0.0804601174
267	0.08002797965
268	0.07978944725
269	0.07933091422
270	0.07922390491
271	0.07901375013
272	0.07876659356
273	0.07857047277
274	0.07828473143
275	0.07805989155
276	0.07788700977
277	0.07770934369
278	0.07749459684
279	0.07715856942
280	0.07689414003
281	0.07660809422
282	0.07642337673
283	0.07625583359
284	0.07593924249
285	0.07563044033
286	0.07537494693
287	0.07504925021
288	0.07480802321
289	0.07463661309
290	0.07438542189
291	0.07405399488
292	0.07381022501
293	0.07353999016
294	0.07335206134
295	0.07319842518
296	0.07283077334
297	0.07235303834
298	0.07215012463
299	0.0719028736
300	0.07166626152
301	0.07156125984
302	0.07113510045
303	0.07098693956
304	0.07083004492
305	0.07057415708
306	0.07029792159
307	0.07009817422
308	0.06983526223
309	0.06953755453
310	0.06919139051
311	0.06898599278
312	0.06875193378
313	0.06869250619
314	0.06844128884
315	0.06823235809
316	0.06805703297
317	0.06782892181
318	0.06765507465
319	0.06752146015
320	0.06718759731
321	0.06695534087
322	0.06673271741
323	0.0664858543
324	0.06644212838
325	0.0662863052
326	0.0660183998
327	0.06589422941
328	0.06564515165
329	0.06534745005
330	0.06518778374
331	0.06494071222
332	0.06463220092
333	0.06448240377
334	0.06438148347
335	0.06417982691
336	0.06394187976
337	0.06372054079
338	0.06358963105
339	0.06341075315
340	0.06323734391
341	0.06305285315
342	0.06292831972
343	0.06278084447
344	0.06251308085
345	0.06231244182
346	0.0621567256
347	0.06193452158
348	0.06180380343
349	0.06161725294
350	0.06142401134
351	0.06122508197
352	0.06089812463
353	0.06055971254
354	0.06038860134
355	0.06028295933
356	0.06007505089
357	0.05989377354
358	0.05969414167
359	0.05938446662
360	0.05916869841
361	0.05898376851
362	0.05879544223
363	0.05870765477
364	0.05860883546
365	0.05843830574
366	0.05823402687
367	0.05808542844
368	0.05793643994
369	0.0577511265
370	0.05764067522
371	0.05745082665
372	0.05730178871
373	0.05720547751
374	0.05707880805
375	0.05700373063
376	0.05689424673
377	0.05683723986
378	0.05666368518
379	0.05659644184
380	0.05650761084
381	0.05645453237
382	0.05633840039
383	0.05621978452
384	0.0560011566
385	0.05581826747
386	0.05569920607
387	0.05552306393
388	0.05548021869
389	0.05534972854
390	0.05514264863
391	0.0548737218
392	0.05474025315
393	0.05460108679
394	0.05450019947
395	0.05438864413
396	0.05427204156
397	0.05400375897
398	0.05394216114
399	0.05378272868
400	0.05367305989
401	0.05356742331
402	0.05344040605
403	0.05332070018
404	0.05320522784
405	0.05310745264
406	0.05294668608
407	0.05277264082
408	0.0525487101
409	0.052456222
410	0.05236362367
411	0.05223291451
412	0.05213682027
413	0.05193882133
414	0.0518241213
415	0.05171204914
416	0.05153621121
417	0.05130109202
418	0.05122819949
419	0.051151457
420	0.05109077261
421	0.05099045537
422	0.05077528808
423	0.05062519402
424	0.05057392695
425	0.05048631501
426	0.05035910175
427	0.05023557721
428	0.05013437989
429	0.05001394263
430	0.04989086475
431	0.04975895569
432	0.0496426128
433	0.0495587761
434	0.04945827035
435	0.0493446662
436	0.04919579938
437	0.0490601629
438	0.04892356499
439	0.0488275767
440	0.04866791898
441	0.04859527963
442	0.04850929265
443	0.04837877492
444	0.0483060522
445	0.048192725
446	0.04805400354
447	0.04796428038
448	0.04788304092
449	0.04773943374
450	0.04765552437
451	0.0473955496
452	0.04732654453
453	0.04724389019
454	0.04714099047
455	0.04708793474
456	0.04690713115
457	0.04677487683
458	0.0467183292
459	0.04661850044
460	0.04658043444
461	0.04648631089
462	0.04642568811
463	0.04636834205
464	0.04626511311
465	0.04613407594
466	0.04601472431
467	0.04592611633
468	0.04582148222
469	0.04574214544
470	0.04568331928
471	0.04560880598
472	0.04554788974
473	0.04546864702
474	0.04541627544
475	0.04532359283
476	0.04523672578
477	0.04520294983
478	0.04512961527
479	0.04506278341
480	0.04479536549
481	0.04470688217
482	0.04464459058
483	0.04448793608
484	0.04441002614
485	0.04434167348
486	0.04428535069
487	0.04420766945
488	0.04413183693
489	0.04397023749
490	0.04379721579
491	0.04370349203
492	0.04361089008
493	0.04348404885
494	0.04340908912
495	0.04334532168
496	0.0432266463
497	0.04318565188
498	0.04305612061
499	0.04292979522
