iter	Passed	Remaining
0	623	311151
1	1230	306501
2	1842	305286
3	2471	306498
4	3077	304636
5	3677	302743
6	4286	301906
7	4916	302391
8	5530	301706
9	6142	300963
10	6778	301315
11	7386	300403
12	7996	299578
13	8603	298658
14	9223	298231
15	9831	297400
16	10458	297150
17	11075	296582
18	11718	296655
19	12321	295725
20	12937	295106
21	13551	294438
22	14182	294133
23	14788	293313
24	15425	293092
25	16032	292288
26	16665	291947
27	17267	291078
28	17874	290306
29	18485	289604
30	19097	288933
31	19696	288057
32	20311	287435
33	20927	286826
34	21532	286069
35	22133	285272
36	22734	284486
37	23356	283964
38	23963	283264
39	24578	282651
40	25184	281941
41	25799	281342
42	26399	280566
43	27005	279874
44	27605	279122
45	28231	278633
46	28828	277862
47	29431	277149
48	30038	276480
49	30675	276083
50	31275	275347
51	31867	274549
52	32484	273976
53	33107	273447
54	33727	272888
55	34307	272007
56	34913	271346
57	35558	270978
58	36152	270221
59	36757	269552
60	37367	268922
61	38000	268455
62	38595	267717
63	39196	267029
64	39813	266441
65	40442	265941
66	41082	265501
67	41688	264843
68	42310	264285
69	42923	263675
70	43536	263059
71	44141	262397
72	44763	261833
73	45368	261177
74	45990	260611
75	46605	260009
76	47230	259463
77	47831	258780
78	48435	258118
79	49059	257560
80	49701	257099
81	50312	256468
82	50925	255856
83	51526	255178
84	52154	254636
85	52756	253966
86	53355	253287
87	54007	252854
88	54622	252245
89	55223	251573
90	55839	250969
91	56461	250392
92	57064	249735
93	57726	249328
94	58333	248683
95	58961	248130
96	59563	247464
97	60160	246781
98	60761	246113
99	61382	245531
100	61992	244902
101	62597	244253
102	63197	243588
103	63824	243025
104	64433	242393
105	65038	241747
106	65637	241081
107	66259	240498
108	66868	239866
109	67467	239203
110	68069	238548
111	68690	237964
112	69319	237404
113	69948	236843
114	70611	236393
115	71211	235734
116	71817	235095
117	72417	234436
118	73048	233877
119	73656	233245
120	74271	232635
121	74868	231970
122	75496	231400
123	76103	230765
124	76716	230150
125	77338	229560
126	77972	229005
127	78573	228355
128	79183	227728
